name	drugbank-id	type	atc	cas	rxcui	unii	uniprot_kb	drugbank-id-2	synonyms	InChI
Clarithromycin	DB01211	small molecule	A02BD12	81103-11-9	21212	H1250JIK0A	P01857	APRD00181	6-O-methyl erythromycin | 6-O-methylerythromycin | 6-O-methylerythromycin A | CLA | Clarithromycin | Clarithromycina | Clarithromycine | Clarithromycinum | Claritromicina	AGOYDEPGAOXOCK-KCBOHYOISA-N
Ceftriaxone	DB01212	small molecule	J01DD04	73384-59-5	2193	75J73V1629	P01857	APRD00395	Ceftriaxona | Ceftriaxone | Ceftriaxonum | Rocephin	VAAUVRVFOQPIGI-SPQHTLEESA-N
Fomepizole	DB01213	small molecule	V03AB34	7554-65-6	15226	83LCM6L2BY	P01857	APRD00985	4-methylpyrazol | 4-methylpyrazole | Fomepizol | Fomepizole | Fomepizolum	RIKMMFOAQPJVMX-UHFFFAOYSA-N
Metipranolol	DB01214	small molecule	S01ED54	22664-55-7	10824	X39AL81KEB	P01857	APRD00668	(±)-metipranolol | Acetic acid 4-(2-hydroxy-3-isopropylamino-propoxy)-2,3,6-trimethyl-phenyl ester | Metipranolol | Metipranololum	BQIPXWYNLPYNHW-UHFFFAOYSA-N
Estazolam	DB01215	small molecule	N05CD04	29975-16-4	4077	36S3EQV54C	P01857	APRD00955	8-chloro-6-phenyl-4H-s-triazolo(4,3-a)(1,4)benzodiazepine | Estazolam | Estazolamum	CDCHDCWJMGXXRH-UHFFFAOYSA-N
Finasteride	DB01216	small molecule	D11AX10	98319-26-7	25025	57GNO57U7G	P01857	APRD00632 | DB07774	(5alpha,17beta)-(1,1-Dimethylethyl)-3-oxo-4-azaandrost-1-ene-17-carboxamide | Finasterida | Finasteride | Finasteridum	DBEPLOCGEIEOCV-WSBQPABSSA-N
Anastrozole	DB01217	small molecule	L02BG03	120511-73-1	84857	2Z07MYW1AZ	P01857	APRD00016	Anastrozol | Anastrozole | α,α,α',α'-Tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-m-benzenediacetonitrile	YBBLVLTVTVSKRW-UHFFFAOYSA-N
Halofantrine	DB01218	small molecule	P01BX01	69756-53-2	50749	Q2OS4303HZ	P01857	APRD00419	Halofantrina | Halofantrine | Halofantrinum	FOHHNHSLJDZUGQ-UHFFFAOYSA-N
Dantrolene	DB01219	small molecule	M03CA01	7261-97-4	3105	F64QU97QCR	P01857	APRD00901	1-((5-(p-nitrophenyl)furfurylidene)amino)hydantoin | Dantrolene | Dantroleno | Dantrolenum	OZOMQRBLCMDCEG-VIZOYTHASA-N
Rifaximin	DB01220	small molecule	A07AA11	80621-81-4	35619	L36O5T016N	P01857	APRD01218	Rifamycin L 105 | Rifamycin L 105SV | Rifaxidin | Rifaximin | Rifaximina | Rifaximine | Rifaximinun	NZCRJKRKKOLAOJ-XRCRFVBUSA-N
Ketamine	DB01221	small molecule	N01AX03	6740-88-1	6130	690G0D6V8H	P01857	APRD00493	(+-)-Ketamine | (±)-ketamine | 2-(2-Chloro-phenyl)-2-methylamino-cyclohexanone | 2-(methylamino)-2-(2-chlorophenyl)cyclohexanone | 2-(o-chlorophenyl)-2-(methylamino)-cyclohexanone | DL-ketamine | Ketamina | Ketamine | Kétamine | Ketaminum | NMDA | Special K	YQEZLKZALYSWHR-UHFFFAOYSA-N
Budesonide	DB01222	small molecule	R03AL11	51333-22-3	19831	Q3OKS62Q6X	P01857	APRD00442	(11β,16α)-16,17-(Butylidenebis(oxy))-11,21-dihydroxypregna-1,4-diene-3,20-dione | Budesónida | Budesonide	VOVIALXJUBGFJZ-KWVAZRHASA-N
Aminophylline	DB01223	small molecule	R03DA55	317-34-0	689	27Y3KJK423	P01857	APRD00329	Aminofilina | Aminophyllin | Aminophylline | Aminophyllinum | Theophyline ethylenediamine | Theophylline ethylenediamine	FQPFAHBPWDRTLU-UHFFFAOYSA-N
Quetiapine	DB01224	small molecule	N05AH04	111974-69-7	51272	BGL0JSY5SI	P01857	APRD00675	2-[2-(4-Dibenzo[b,f][1,4]thiazepin-11-yl-1-piperazinyl)ethoxy]ethanol | Quetiapina | Quetiapine | Quétiapine | Quetiapinum	URKOMYMAXPYINW-UHFFFAOYSA-N
Enoxaparin	DB01225	small molecule	B01AB05	9005-49-6	67108	E47C0NF7LV	P01857	APRD00068		
Mivacurium	DB01226	small molecule	M03AC10	133814-19-4	30077	77D66S9Q93	P01857	APRD01119	Mivacurium	ILVYCEVXHALBSC-OTBYEXOQSA-N
Levacetylmethadol	DB01227	small molecule	N07BC03	1477-40-3	237005	R3B637Y991	P01857	APRD00745	(-)-alpha-Acetylmethadol | (1S,4S)-4-(dimethylamino)-1-ethyl-2,2-diphenylpentyl acetate | 1-alpha-Acetylmethadol | LAAM | Levacetilmetadol | Levacetylmethadol | Levacetylmethadolum | Levo-alpha-acetylmethadol | Levo-methadyl acetate | Levo-α-acetylmethadol | Levomethadyl | Levomethadyl acetate	XBMIVRRWGCYBTQ-AVRDEDQJSA-N
Encainide	DB01228	small molecule	C01BC08	66778-36-7	42368	SY3J0147NB	P01857	APRD00613	(±)-2'-[2-(1-methyl-2-piperidyl)ethyl]-p-anisanilide | (±)-4-methoxy-N-(2-(2-(1-methyl-2-piperidinyl)ethyl)phenyl)benzamide | 4-methoxy-2'-[2-(1-methyl-2-piperidyl)ethyl]benzanilide | 4-Methoxy-N-{2-[2-(1-methyl-piperidin-2-yl)-ethyl]-phenyl}-benzamide | Encainida | Encainide | Encainidum	PJWPNDMDCLXCOM-UHFFFAOYSA-N
Paclitaxel	DB01229	small molecule	L01CD01	33069-62-4	56946	P88XT4IS4D	P01857	APRD00259 | DB05261 | DB05281 | DB05526 | DB05927	5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine | Paclitaxel | Taxol A	RCINICONZNJXQF-MZXODVADSA-N
Pemoline	DB01230	small molecule	N06BA05	2152-34-3	7966	7GAQ2332NK	P01857	APRD01169	pemolina | Pemoline	NRNCYVBFPDDJNE-UHFFFAOYSA-N
Diphenidol	DB01231	small molecule		972-02-1	23370	NQO8R319LY	P01857	APRD00929	alpha,alpha-Diphenyl-1-piperidinebutanol | Difenidol | Difénidol | Difenidolo | Difenidolum | Diphenidol | Diphenyl(3-(1-piperidyl)propyl)carbinol	OGAKLTJNUQRZJU-UHFFFAOYSA-N
Saquinavir	DB01232	small molecule	J05AE01	127779-20-8	83395	L3JE09KZ2F	P01857	APRD00623	Saquinavir	QWAXKHKRTORLEM-UGJKXSETSA-N
Metoclopramide	DB01233	small molecule	A03FA01	364-62-5	6915	L4YEB44I46	P01857	APRD00665	2-methoxy-4-amino-5-chloro-N,N-(dimethylaminoethyl)benzamide | 2-methoxy-5-chloroprocainamide | 4-amino-5-chloro-2-methoxy-N-(β-diethylaminoethyl)benzamide | 4-amino-5-chloro-N-(2-(diethylamino)ethyl)-o-anisamide | Metoclopramida | Metoclopramide | Metoclopramidum	TTWJBBZEZQICBI-UHFFFAOYSA-N
Dexamethasone	DB01234	small molecule	R01AD53	50-02-2	3264	7S5I7G3JQL	P01857	APRD00674	1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone | 1-Dehydro-16α-methyl-9α-fluorohydrocortisone | 16alpha-Methyl-9alpha-fluoro-1-dehydrocortisol | 16α-Methyl-9α-fluoro-1-dehydrocortisol | 9alpha-Fluoro-16alpha-methylprednisolone | 9α-Fluoro-16α-methylprednisolone | Dexametasona | Dexaméthasone | Dexamethasone | Dexamethasonum	UREBDLICKHMUKA-CXSFZGCWSA-N
Levodopa	DB01235	small molecule	N04BA03	59-92-7	6375	46627O600J	P01857	APRD00309 | EXPT01107	(−)-3-(3,4-dihydroxyphenyl)-L-alanine | (−)-dopa | 3-Hydroxy-L-tyrosine | 3,4-Dihydroxy-L-phenylalanine | Dihydroxy-L-phenylalanine | L-3,4-dihydroxyphenylalanine | L-beta-(3,4-Dihydroxyphenyl)alanine | L-DOPA | Levodopa | Levodopum | β-(3,4-dihydroxyphenyl)-L-alanine | β-(3,4-dihydroxyphenyl)alanine	WTDRDQBEARUVNC-LURJTMIESA-N
Sevoflurane	DB01236	small molecule	N01AB08	28523-86-6	36453	38LVP0K73A	P01857	APRD00219	1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane | Sevofluran | Sevoflurane | Sevoflurano | Sevofluranum	DFEYYRMXOJXZRJ-UHFFFAOYSA-N
Bromodiphenhydramine	DB01237	small molecule	R06AA01	118-23-0	19759	T032BI7727	P01857	APRD00710	2-(p-bromo-α-phenylbenzyloxy)-N,N-dimethylethylamine | Bromazina | Bromazine | Bromazinum | β-(p-bromobenzhydryloxy)ethyldimethylamine | β-dimethylaminoethyl p-bromobenzhydryl ether	NUNIWXHYABYXKF-UHFFFAOYSA-N
Aripiprazole	DB01238	small molecule	N05AX12	129722-12-9	89013	82VFR53I78	P01857	APRD00638	Aripiprazol | Aripiprazole | Aripiprazolum	CEUORZQYGODEFX-UHFFFAOYSA-N
Chlorprothixene	DB01239	small molecule	N05AF03	113-59-7	2406	9S7OD60EWP	P01857	APRD00718	Alpha-Chlorprothixene | Chlorprothixen | Chlorprothixene | Chlorprothixine | Chlorprotixen | Chlorprotixene | Chlorprotixine | Chlothixen	WSPOMRSOLSGNFJ-AUWJEWJLSA-N
Epoprostenol	DB01240	small molecule	B01AC09	35121-78-9	8814	DCR9Z582X0	P01857	APRD00949	(5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate | (5Z,9α,11α,13E,15S)-6,9-epoxy-11,15-dihydroxyprosta-5,13-dien-1-oic acid | Epoprostenol | PGI2 | PGX | Prostacyclin | Prostaglandin I2 | Prostaglandin X | Vasocyclin	KAQKFAOMNZTLHT-OZUDYXHBSA-N
Gemfibrozil	DB01241	small molecule	C10AB04	25812-30-0	4719	Q8X02027X3	P01857	APRD00293	2,2-Dimethyl-5-(2,5-dimethylphenoxy)valeriansäure | 2,2-Dimethyl-5-(2,5-xylyloxy)valeriansäure | 2,2-Dimethyl-5-(2,5-xylyloxy)valeric acid | Gemfibrozil | Gemfibrozilo | Gemfibrozilum	HEMJJKBWTPKOJG-UHFFFAOYSA-N
Clomipramine	DB01242	small molecule	N06AA04	303-49-1	2597	NUV44L116D	P01857	APRD00253 | DB07600	3-(3-chloro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethyl-1-propanamine | 3-(3-chloro-5H-dibenzo[b,F]azepin-5-yl)-N,N-dimethylpropan-1-amine | 3-Chloroimipramine | Chlorimipramine | Clomipramina | Clomipramine | Clomipraminum | Monochlorimipramine	GDLIGKIOYRNHDA-UHFFFAOYSA-N
Chloroxine	DB01243	small molecule		773-76-2	20875	2I8BD50I8B	P01857	APRD00866	5,7-dichlor-8-hydroxychinolin | 5,7-dichloro-8-hydroxyquinoline | 5,7-dichloro-8-oxyquinoline | 5,7-dichloro-8-quinolinol | 5,7-dichlorooxine | 5,7-dichloroxine | Chloroxine | Chlorquinol | CHQ	WDFKMLRRRCGAKS-UHFFFAOYSA-N
Bepridil	DB01244	small molecule	C08EA02	64706-54-3	1436	755BO701MA	P01857	APRD00727	Bepadin | Bepridil	UIEATEWHFDRYRU-UHFFFAOYSA-N
Decamethonium	DB01245	small molecule		156-74-1	1436	C1CG1S3T2W	P01857	APRD00696	Decamethonium | Decamethonium cation | Decamethonium ion | Decamethonum | Decamethylenebis(trimethylammonium) | N,N,N,N',N',N'-hexamethyl-1,10-decanediaminium	MTCUAOILFDZKCO-UHFFFAOYSA-N
Alimemazine	DB01246	small molecule	R06AD01	84-96-8	10825	76H78MJJ52	P01857	APRD00258	Alimemazina | Alimemazine | Alimemazinum | Methylpromazine | Trimeprazine	ZZHLYYDVIOPZBE-UHFFFAOYSA-N
Isocarboxazid	DB01247	small molecule	N06AF01	59-63-2	6011	34237V843T	P01857	APRD00701	Isocarboxazid | Isocarboxazida | Isocarboxazide | Isocarboxazidum	XKFPYPQQHFEXRZ-UHFFFAOYSA-N
Docetaxel	DB01248	small molecule	L01CD02	114977-28-5	1299922	699121PHCA	P01857	APRD00932	Docetaxel | Docetaxel anhydrous | N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel | N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol | TXL	ZDZOTLJHXYCWBA-VCVYQWHSSA-N
Iodixanol	DB01249	small molecule	V08AB09	92339-11-2	27729	HW8W27HTXX	P01857		5,5'-((2-hydroxytrimethylene)bis(acetylimino))bis(N,N'-bis(2,3-dihydroxypropyl)-2,4,6-triiodoisophthalamide) | Indixanol | Iodixanol | Iodixanolum	NBQNWMBBSKPBAY-UHFFFAOYSA-N
Olsalazine	DB01250	small molecule	A07EC03	15722-48-2	32385	ULS5I8J03O	P01857		Olsalazine	QQBDLJCYGRGAKP-FOCLMDBBSA-N
Gliquidone	DB01251	small molecule	A10BB08	33342-05-1	25793	C7C2QDD75P	P01857		Gliquidona | Gliquidone | Gliquidonum	LLJFMFZYVVLQKT-UHFFFAOYSA-N
Mitiglinide	DB01252	small molecule	A10BX08	145375-43-5	25793	D86I0XLB13	P01857		Mitiglinide	WPGGHFDDFPHPOB-BBWFWOEESA-N
Ergometrine	DB01253	small molecule	G02AB03	60-79-7	4021	WH41D8433D	P01857		(6aR,9R)-7-Methyl-4,6,6a,7,8,9-hexahydro-indolo[4,3-fg]quinoline-9-carboxylic acid ((S)-2-hydroxy-1-methyl-ethyl)-amide | [8β(S)]-9,10-didehydro-N-(2-hydroxy-1-methylethyl)-6-methylergoline-8-carboxamide | 9,10-didehydro-N-(2-hydroxy-1-methylethyl)-6-methylergoline-8β(S)-carboxamide | 9,10-didehydro-N-(α-(hydroxymethyl)ethyl)-6-methylergoline-8-β-carboxamide | D-lysergic acid 1-hydroxymethylethylamide | D-lysergic acid-L-propanolamide | Ergobasine | Ergometrina | Ergometrine | Ergométrine | Ergometrinum | Ergonovine | Ergotocine | Margonovine | N-(2-Hydroxy-1-methylethyl)-D-(+)-lysergamide | N-(α-(hydroxymethyl)ethyl)-D-lysergamide	WVVSZNPYNCNODU-XTQGRXLLSA-N
Dasatinib	DB01254	small molecule	L01EA02	302962-49-8	1546019	X78UG0A0RN	P01857		anh. dasatinib | Anhydrous dasatinib | BMS dasatinib | Dasatinib | Dasatinib (anh.) | dasatinib (anhydrous) | Dasatinib anhydrous | Dasatinibum | N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Lisdexamfetamine	DB01255	small molecule	N06BA12	608137-32-2	700810	H645GUL8KJ	P01857		Lisdexamfetamine	VOBHXZCDAVEXEY-JSGCOSHPSA-N
Retapamulin	DB01256	small molecule	D06AX13	224452-66-8	642274	4MG6O8991R	P01857		Retapamulin | Retapamulina	STZYTFJPGGDRJD-NHUWBDDWSA-N
Eculizumab	DB01257	biotech	L04AA25	219685-50-4	591781	A3ULP0F556	P01857		Eculizumab	
Lapatinib	DB01259	small molecule	L01EH01	231277-92-2	480167	0VUA21238F	P01857	DB02584	Lapatinib | N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl)-4-quinazolinamine	BCFGMOOMADDAQU-UHFFFAOYSA-N
Desonide	DB01260	small molecule	S01BA11	638-94-8	3254	J280872D1O	P01857		11β,21-dihydroxy-16α,17-[(1-methylethylidene)bis(oxy)]pregna-1,4-diene-3,20-dione | 11β,21-dihydroxy-16α,17-isopropylidenedioxypregna-1,4-diene-3,20-dione | 11β,21-dihydroxy-16α,17α-isopropylidenedioxypregna-1,4-diene-3,20-dione | 16α-hydroxyprednisole-16,17-acetonide | 16α-hydroxyprednisolone-16α,17-acetonide | 16α,17α-isopropylidenedioxyprednisolone | Desfluorotriamcinolone acetonide | Desonida | Desonide | Desonidum	WBGKWQHBNHJJPZ-LECWWXJVSA-N
Sitagliptin	DB01261	small molecule	A10BH51	486460-32-6	593411	QFP0P1DV7Z	P01857	DB07214	Sitagliptin | Sitagliptina | Sitagliptine | Sitagliptinum	MFFMDFFZMYYVKS-SECBINFHSA-N
Decitabine	DB01262	small molecule	L01BC08	2353-33-5	15657	776B62CQ27	P01857		4-amino-1-(2-deoxy-β-D-erythro-pentofuranosyl)-s-triazin-2(1H)-one | 5-aza-2'-deoxycytidine | 5-azadeoxycytidine | DAC | Decitabina | Decitabine	XAUDJQYHKZQPEU-KVQBGUIXSA-N
Posaconazole	DB01263	small molecule	J02AC04	171228-49-2	282446	6TK1G07BHZ	P01857		Posaconazole	RAGOYPUPXAKGKH-XAKZXMRKSA-N
Darunavir	DB01264	small molecule	J05AR14	206361-99-1	460132	YO603Y8113	P01857	EXPT00002	(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl N-((1S,2R)-1-benzyl-2-hydroxy-3-(N1-isobutylsulfanilamido)propyl)carbamate | (3R,3aS,6aR)-tetrahydro-2H-furo[2,3-b]furan-3-yl (2S,3R)-4-(4-amino-N-isobutylphenylsulfonamido)-3-hydroxy-1-phenylbutan-2-ylcarbamate | (3R,3aS,6aR)-tetrahydro-2H-furo[2,3-b]furan-3-yl (2S,3R)-4-(4-amino-N-neopentylphenylsulfonamido)-3-hydroxy-1-phenylbutan-2-ylcarbamate | [(S)-3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-2-hydroxy-1-((R)-phenylmethyl)-propyl]-carbamic acid (3R,3aS,6aR)-(hexahydro-furo[2,3-b]furan-3-yl) ester | {(1S,2R)-3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-1-benzyl-2-hydroxy-propyl}-carbamic acid (3R,3aS,6aR)-(hexahydro-furo[2,3-b]furan-3-yl) ester | Darunavir | Darunavirum | N-((1S,2R)-3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-benzylpropyl)((1S,2R,5R)-4,6-dioxabicyclo(3.3.0)oct-2-yloxy)carboxamide	CJBJHOAVZSMMDJ-HEXNFIEUSA-N
Telbivudine	DB01265	small molecule	J05AF11	3424-98-4	474128	2OC4HKD3SF	P01857		1-(2-deoxy-β-L-ribofuranosyl)-5-methyluracil | 2'-Deoxy-L-thymidine | Beta-l-thymidine | Epavudine | L-deoxythymidine | L-DT | L-thymidine | LDT | Telbivudin | Telbivudina | Telbivudine | β-L-2'-deoxythymidine	IQFYYKKMVGJFEH-CSMHCCOUSA-N
Sinecatechins	DB01266	small molecule	D06BB12	188265-33-0	753346	T432289GYZ	P01857		Kunecatechins | Sinecatechins	
Paliperidone	DB01267	small molecule	N05AX13	144598-75-4	679314	838F01T721	P01857		9-hydroxyrisperidone | Paliperidona | Paliperidone	PMXMIIMHBWHSKN-UHFFFAOYSA-N
Sunitinib	DB01268	small molecule	L01EX01	557795-19-4	357977	V99T50803M	P01857	DB07417	Sunitinib | Sunitinibum	WINHZLLDWRZWRT-ATVHPVEESA-N
Panitumumab	DB01269	biotech	L01FE02	339177-26-3	263034	6A901E312A	P01859		ABX-EGF | Panitumumab	
Ranibizumab	DB01270	biotech	S01LA04	347396-82-1	595060	ZL1R02VT79	P01859		Ranibizumab | rhuFab V2	
Idursulfase	DB01271	biotech	A16AB09	50936-59-9	644101	5W8JGG2651	P01859		Alpha-L-iduronate sulfate sulfatase | Iduronate 2-sulfatase | Idursulfasa | Idursulfase	
Alglucosidase alfa	DB01272	biotech	A16AB07	420784-05-0	629565	DTI67O9503	P01859		Acid maltase | Acid-alpha glucosidase | Aglucosidase alfa | Aglucosidase alpha | Alglucosidasa alfa | Alglucosidase alfa | alpha-1,4-glucosidase | Alpha-glucosidase | Lysosomal Alpha-Glucosidase	
Varenicline	DB01273	small molecule	N07BA03	249296-44-4	591622	W6HS99O8ZO	P01859		Vareniclina | Varenicline | Vareniclinum	JQSHBVHOMNKWFT-UHFFFAOYSA-N
Arformoterol	DB01274	small molecule		67346-49-0	304962	F91H02EBWT	P01859		(-)-formoterol | (R,R)-formoterol | Arformoterol	BPZSYCZIITTYBL-YJYMSZOUSA-N
Hydralazine	DB01275	small molecule	C02DB02	86-54-4	5470	26NAK24LS8	P01859		(1Z)-1(2H)-Phthalazinone hydrazone | (2H)-Phthalazinone hydrazone | 1-Hydrazinophthalazine | 1-Phthalazinylhydrazine | 6-Hydralazine | Hidralazina | Hydralazin | Hydralazine | Hydralazinum | Hydrallazine | Hydrazinophthalazine | Hydrazone 1(2H)-phthalazinone | Hypophthalin | Idralazina | Phthalazin-1-ylhydrazine	RPTUSVTUFVMDQK-UHFFFAOYSA-N
Exenatide	DB01276	biotech	A10BJ01	141758-74-9	60548	9P1872D4OL	P01859		Exenatida | Exenatide | Exenatide synthetic | Exendin 4 | Exendin-4 | Synthetic exendin-4	
Mecasermin	DB01277	biotech	H01AC03	68562-41-4	274403	7GR9I2683O	P01859		Human somatomedin C | Mecasermin | Mecasermin recombinant | Mecasermina | Mechano growth factor	
Pramlintide	DB01278	small molecule	A10BX05	151126-32-8	139953	D3FM8FA78T	P01859		Pramlintide	TZIRZGBAFTZREM-MKAGXXMWSA-N
Galsulfase	DB01279	biotech	A16AB08	552858-79-4	578033	59UA429E5G	P01859		Arylsulfatase B galsulfase | Galsulfasa | Galsulfase | Galsulfase (genetical recombination)	
Nelarabine	DB01280	small molecule	L01BB07	121032-29-9	274771	60158CV180	P01859		2-Amino-9-beta-D-arabinofuranosyl-6-methoxy-9H-purine | Nelarabina | Nelarabine | Nelzarabine	IXOXBSCIXZEQEQ-UHTZMRCNSA-N
Abatacept	DB01281	biotech	L04AA24	332348-12-6	614391	7D0YB67S97	P01859		Abatacept | Abatacept recombinant	
Carbetocin	DB01282	small molecule	H01BB03	37025-55-1	614391	88TWF8015Y	P01859		1-butanoic acid-2-(O-methyl-L-tyrosine)-1-carbaoxytocin | 1-butyric acid-2-(3-(p-methoxyphenyl)-L-alanine)oxytocin | Carbetocin | Carbetocina | Carbetocino | Carbetocinum | deamino-2-O-methyltyrosine-1-carbaoxytocin	NSTRIRCPWQHTIA-DTRKZRJBSA-N
Lumiracoxib	DB01283	small molecule	M01AH06	220991-20-8	614391	V91T9204HU	P01859		2-((2-chloro-6-fluorophenyl)amino)-5-methylbenzeneacetic acid | Lumiracoxib | Lumiracoxibum	KHPKQFYUPIUARC-UHFFFAOYSA-N
Tetracosactide	DB01284	small molecule	H01AA02	16960-16-0	2890	72YY86EA29	P01859		adrenocorticotropic hormone 1-24 | Adrenocorticotropic hormone fragment 1-24 human, rat | alpha(1-24)-corticotrophin | ATCH (1-24) | beta(1-24)-corticotrophin | Corticotropin tetracosapeptide | corticotropin-(1-24) | corticotropin-(1-24) tetracosapeptide | Cosyntropin | Tetracosactida | Tetracosactide | Tetracosactrin | α1-24-corticotrophin | β1-24-corticotrophin	ZOEFCCMDUURGSE-SQKVDDBVSA-N
Corticotropin	DB01285	biotech	H01AA01	12427-33-7	376	K0U68Q2TXA	P01859	DB09547	ACTH | Adrenocorticotrophin | Adrenocorticotropic hormone | Corticotrophin | Corticotropin | Cortigel | H.P. acthar gel	
Fenoterol	DB01288	small molecule	R03CC04	13392-18-2	4333	22M9P70OQ9	P01859		1-(3,5-dihydroxyphenyl)-1-hydroxy-2-((4-hydroxyphenyl)isopropylamino)ethane | 1-(p-hydroxyphenyl)-2-((β-hydroxy-β-(3',5'-dihydroxyphenyl))ethyl)aminopropane | 3,5-dihydroxy-α-(((p-hydroxy-α-methylphenethyl)amino)methyl)benzyl alcohol | 5-{1-Hydroxy-2-[2-(4-hydroxy-phenyl)-1-methyl-ethylamino]-ethyl}-benzene-1,3-diol | Fenoterol | Fenoterolum | Phenoterol	LSLYOANBFKQKPT-UHFFFAOYSA-N
Glisoxepide	DB01289	small molecule	A10BB11	25046-79-1	4333	H7SC0I332I	P01859		Glisoxepide	ZKUDBRCEOBOWLF-UHFFFAOYSA-N
Pirbuterol	DB01291	small molecule	R03CC07	38677-81-5	33767	OG645J8RVW	P01859		(+/-)-pirbuterol | Pirbuterol | Pirbuterolum	VQDBNKDJNJQRDG-UHFFFAOYSA-N
Bismuth subsalicylate	DB01294	small molecule		14882-18-9	19478	62TEY51RR1	P01859	DB01402	2-Hydroxy-benzo[1,3,2]dioxabismin-4-one | Basic bismuth salicylate | Bismuth oxide salicylate | Bismuth oxysalicylate | Bismuth subsalicylate | Pink bismuth | Wismutsubsalicylat	ZREIPSZUJIFJNP-UHFFFAOYSA-K
Bevantolol	DB01295	small molecule	C07AB06	59170-23-9	19478	34ZXW6ZV21	P01859		(±)-bevantolol | 1-((2-(3,4-dimethoxyphenyl)ethyl)amino)-3-(3-methylphenoxy)-2-propanol | 1-(3,4-dimethoxyphenethylamino)-3-(m-tolyloxy)-2-propanol | 1-(3,4-dimethoxyphenethylamino)-3-m-tolyloxy-propan-2-ol | 1-[2-(3,4-Dimethoxy-phenyl)-ethylamino]-3-m-tolyloxy-propan-2-ol | Bevantolol | Bévantolol | Bevantololum	HXLAFSUPPDYFEO-UHFFFAOYSA-N
Glucosamine	DB01296	small molecule	M01AX05	3416-24-8	4845	N08U5BOQ1K	P01859	EXPT01563	2-amino-2-deoxy-D-glucose | Chitosamine | D-Glucosamine | Glucosamina | Glucosamine	MSWZFWKMSRAUBD-IVMDWMLBSA-N
Practolol	DB01297	small molecule	C07AB01	6673-35-4	8620	SUG9176GRW	P01859		(±)-practolol | 1-(4-acetamidophenoxy)-3-isopropylamino-2-propanol | 4'-(2-hydroxy-3-(isopropylamino)propoxy)acetanilide | N-(4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)phenyl)acetamide | Practolol | Practololo | Practololum | Praktololu	DURULFYMVIFBIR-UHFFFAOYSA-N
Sulfacytine	DB01298	small molecule	G01AE10	17784-12-2	78902	T795873AJP	P01859		1-ethyl N4-sulfanilylcytosin | 1-ethyl-N-sulfanilylcytosine | Sulfacitina | Sulfacitine | Sulfacitinum | Sulfacytine	SIBQAECNSSQUOD-UHFFFAOYSA-N
Sulfadoxine	DB01299	small molecule	P01BF09	2447-57-6	10173	88463U4SM5	P01859		4-Sulfanilamido-5,6-dimethoxypyrimidine | Sulfadoxina | Sulfadoxine | Sulfadoxinum | Sulforthomidine | Sulphadoxine | Sulphormethoxine	PJSFRIWCGOHTNF-UHFFFAOYSA-N
Rolitetracycline	DB01301	small molecule	J01AA20	751-97-3	9462	GH9IW85221	P01859		N-(1-Pyrrolidinylmethyl)-tetracycline | N-(Pyrrolidinomethyl)tetracycline | Pyrrolidino-methyl-tetracycline | Rolitetraciclina | Rolitetracycline | Rolitetracyclinum	HMEYVGGHISAPJR-IAHYZSEUSA-N
Oxtriphylline	DB01303	small molecule	R03DA20	4499-40-5	20976	3K045XR58X	P01859		Choline theophyllinate | Choline theophylline | Cholini theophyllinas | Oxtriphylline | Teofilinato de colina | Theocolin | Theophyllinate de choline	RLANKEDHRWMNRO-UHFFFAOYSA-M
Insulin aspart	DB01306	biotech	A10AD06	116094-23-6	51428	D933668QVX	P01859		Aspart | Aspart Insulin | B28-Aspart-Insulin | Insulin aspart | Insulin aspart protamine | Insulin aspart protamine recombinant | Insulin aspart recombinant | Insulin X14 | Insulin, aspart protamine, human | Insulin, aspart, human | Insulin,aspart protamine | Insulina asparta	
Insulin detemir	DB01307	biotech	A10AE05	169148-63-4	139825	4FT78T86XV	P01859		Detemir | Insulin detemir | Insulin detemir recombinant | Insulin,detemir,human | Insulina detemir	
