drugbank-id,assoc_cond
DB06764,Episcleritis
DB13158,Episcleritis
DB14539,Episcleritis
DB14042,Episodic Cluster Headache
DB12457,Episodic Migraine
DB16098,Episodic Migraine
DB01006,Epithelial Ovarian Cancer
DB12240,Epstein-Barr Virus-positive Diffuse Large B-cell Lymphoma
DB00083,"Equinus deformity of foot, acquired"
DB14223,Equinus Foot Deformity in Children With Cerebral Palsy
DB00203,Erectile Dysfunction
DB00770,Erectile Dysfunction
DB00820,Erectile Dysfunction
DB00862,Erectile Dysfunction
DB06237,Erectile Dysfunction
DB06267,Erectile Dysfunction
DB00213,Erosive Esophagitis
DB00338,Erosive Esophagitis
DB00448,Erosive Esophagitis
DB00736,Erosive Esophagitis
DB00863,Erosive Esophagitis
DB00927,Erosive Esophagitis
DB01184,Erosive Esophagitis
DB05351,Erosive Esophagitis
DB01129,Erosive reflux esophagitis
DB09320,Erysipelas
DB09320,Erysipelas caused by susceptible streptococci
DB09320,Erysipeloid
DB00417,Erythema Chronicum Migrans
DB01041,Erythema Nodosum Leprosum
DB13501,Erythemas
DB00994,Erythematous eruptions
DB00199,Erythrasma
DB00257,Erythrasma
DB13434,Erythrasma
DB00635,Erythroblastopenia
DB00741,Erythroblastopenia
DB00860,Erythroblastopenia
DB00959,Erythroblastopenia
DB01234,Erythroblastopenia
DB01380,Erythroblastopenia
DB00620,Erythroderma
DB11158,Escherichia Coli Diarrhea
DB00759,Escherichia infections
DB00537,Escherichia urinary tract infection
DB00781,Escherichia urinary tract infection
DB00707,Esophageal Cancer
DB00762,Esophageal Cancer
DB01229,Esophageal Cancer
DB01248,Esophageal Cancer
DB00196,Esophageal Candidiasis
DB00362,Esophageal Candidiasis
DB00520,Esophageal Candidiasis
DB00582,Esophageal Candidiasis
DB01141,Esophageal Candidiasis
DB01167,Esophageal Candidiasis
DB01263,Esophageal Candidiasis
DB00585,Esophagitis
DB02925,Essential Arterial Hypertension
DB09015,Essential Arterial Hypertension
DB09422,Essential Fatty Acid Deficiency (EFAD)
DB09227,Essential Hypertension ( Mild to Moderate)
DB01005,Essential Thrombocythemia (ET)
DB01008,Essential Thrombocythemia (ET)
DB00571,Essential Tremor
DB00794,Essential Tremor
DB01068,Essential Tremor
DB00286,Estrogen Replacement Therapy
DB00603,Estrogen Replacement Therapy
DB15881,Ethmoid Sinusitis
DB00898,Ethylene glycol overdose
DB01213,Ethylene glycol poisoning
DB00279,Euthyroid Goitre
DB00451,Euthyroid Goitre
DB00872,Euvolemic Hyponatremia
DB00541,Ewing's Sarcoma
DB00694,Ewing's Sarcoma
DB00762,Ewing's Sarcoma
DB00773,Ewing's Sarcoma
DB00970,Ewing's Sarcoma
DB01030,Ewing's Sarcoma
DB01181,Ewing's Sarcoma
DB01248,Ewing's Sarcoma
DB00860,Exacerbation of asthma
DB01001,Exacerbation of asthma
DB01222,Exacerbation of asthma
DB01223,Exacerbation of asthma
DB00860,Exacerbation of COPD
DB01208,Exacerbation of COPD
DB01409,Exacerbation of COPD
DB01656,Exacerbation of COPD
DB00397,Excess mucus or phlegm
DB00874,Excess mucus or phlegm
DB01001,Excess mucus or phlegm
DB01114,Excess mucus or phlegm
DB04339,Excess mucus or phlegm
DB05057,Excess mucus or phlegm
DB06767,Excess mucus or phlegm
DB15926,Excess mucus or phlegm
DB00572,Excessive bronchial secretion
DB16584,Excessive bronchial secretion
DB09072,Excessive Daytime Sleepiness
DB11642,Excessive Daytime Sleepiness
DB01110,Excessive sweating and body odor
DB11081,Excessive sweating and body odor
DB11573,Excessive sweating and body odor
DB01288,Exercised Induced Asthma
DB00471,Exercise-Induced Bronchospasm
DB00938,Exercise-Induced Bronchospasm
DB00983,Exercise-Induced Bronchospasm
DB01001,Exercise-Induced Bronchospasm
DB01003,Exercise-Induced Bronchospasm
DB00297,Exfoliative erythroderma
DB00443,Exfoliative erythroderma
DB00620,Exfoliative erythroderma
DB00635,Exfoliative erythroderma
DB00741,Exfoliative erythroderma
DB00860,Exfoliative erythroderma
DB00959,Exfoliative erythroderma
DB01234,Exfoliative erythroderma
DB01284,Exfoliative erythroderma
DB01380,Exfoliative erythroderma
DB14545,Exfoliative erythroderma
DB14644,Exfoliative erythroderma
DB00085,Exocrine Pancreatic Insufficiency
DB11065,Exocrine Pancreatic Insufficiency
DB11066,Exocrine Pancreatic Insufficiency
DB13147,Exocrine Pancreatic Insufficiency
DB00780,Exogenous depression
DB00937,Exogenous Obesity
DB01579,Exogenous Obesity
DB00874,Expectorant
DB01075,Expectorant
DB11714,Extensive-stage Small Cell Lung Cancer (SCLC)
DB00537,External ear infection NOS
DB00803,External ear infection NOS
DB03166,External ear infection NOS
DB00027,External ear inflammation
DB00443,External ear inflammation
DB01179,External Genital Warts
DB14307,External Genital Warts
DB00591,External Hemorrhoid
DB01109,External Hemorrhoid
DB15886,External Hemorrhoid
DB00749,Extra-Articular Rheumatism
DB00788,Extra-Articular Rheumatism
DB00927,Extra-Articular Rheumatism
DB09214,Extra-Articular Rheumatism
DB11582,Extra-Articular Rheumatism
DB09258,Extracorporeal Clotting During Hemodialysis
DB09157,ExtraCorporeal Membrane Oxygenation (ECMO)
DB00608,Extraintestinal Amebiasis
DB01164,Extraocular irrigation
DB00376,Extrapyramidal disorder
DB00810,Extrapyramidal disorder caused by neuroleptic drugs without Tardive dyskinesia
DB00915,Extrapyramidal disorder caused by neuroleptic drugs without Tardive dyskinesia
DB00810,Extrapyramidal Symptoms
DB13619,Extrapyramidal Symptoms
DB00376,Extrapyramidal symptoms caused by butyrophenones
DB00376,Extrapyramidal symptoms caused by dibenzoxazepines
DB00376,Extrapyramidal symptoms caused by phenothiazines
DB00376,Extrapyramidal symptoms caused by thioxanthenes
DB00563,Extrauterine Pregnancy
DB13142,Exudative skin conditions
DB00388,Eye allergy
DB00443,Eye allergy
DB00852,Eye allergy
DB01075,Eye allergy
DB01114,Eye allergy
DB01234,Eye allergy
DB06764,Eye allergy
DB08799,Eye allergy
DB14542,Eye allergy
DB00027,Eye and eyelid infections
DB02703,Eye and eyelid infections
DB09093,Eye and eyelid infections
DB11105,Eye and eyelid infections
DB14477,Eye degenerative disorder
DB01581,Eye discharge
DB06764,Eye discomfort
DB08818,Eye discomfort
DB11063,Eye discomfort
DB11326,Eye discomfort
DB11105,Eye disinfection
DB00873,Eye infection viral
DB00626,Eye Infections
DB00684,Eye Infections
DB00955,Eye Infections
DB01234,Eye Infections
DB01581,Eye Infections
DB06147,Eye Infections
DB15882,Eye Infections
DB00860,Eye inflammation caused by Cataract Surgery
DB00860,Eye inflammation caused by Infection
DB01839,Eye lubrication
DB09287,Eye lubrication
DB09301,Eye lubrication
DB11063,Eye lubrication
DB11105,Eye lubrication
DB00465,Eye Pain
DB14596,Eye Pain
DB00963,Eye Pain
DB06711,Eye Pain
DB06781,Eye Pain
DB00455,Eye pruritus
DB00716,Eye pruritus
DB00920,Eye pruritus
DB03904,Eye pruritus
DB06764,Eye pruritus
DB00388,Eye redness
DB01593,Eye redness
DB06711,Eye redness
DB06764,Eye redness
DB15793,Eye redness
DB06764,Eyelid folliculitis
DB00755,FAB classification M3 Acute promyelocytic leukemia
DB00103,Fabry's Disease
DB05018,Fabry's Disease
DB14992,Fabry's Disease
DB15874,Fabry's Disease
DB00877,Facial Angiofibroma
DB08818,Facial Defect
DB00484,Facial erythema
DB00799,Facial fine wrinkling
DB08818,Facial fine wrinkling
DB00799,Facial hyperpigmentation
DB00799,Facial hypopigmentation
DB09321,Facial rash
DB00916,Facial Rosacea
DB00083,Facial Skin Wrinkles
DB00728,Facilitation of small bowel intubation therapy
DB01233,Facilitation of small bowel intubation therapy
DB00170,Factor II deficiency
DB01229,Fallopian Tube Cancer
DB15067,Familial Chylomicronemia Syndrome (FCS)
DB06168,Familial Cold Autoinflammatory Syndrome (FCAS)
DB06372,Familial Cold Autoinflammatory Syndrome (FCAS)
DB01394,Familial Mediterranean Fever (FMF )
DB06168,Familial Mediterranean Fever (FMF )
DB00819,Familial periodic paralysis
DB12245,Fascioliasis
DB00085,Fat Digestion
DB11074,Fat Digestion
DB00085,Fat malabsorption
DB00898,Fat occlusion in central venous catheter
DB00118,Fatigue
DB00201,Fatigue
DB00536,Fatigue
DB00745,Fatigue
DB04522,Fatigue
DB08811,Fatigue
DB11584,Fatigue
DB15993,Fatigue
DB09298,Fatty Liver Disease
DB00316,Febrile Convulsions
DB01174,Febrile Convulsions
DB00316,Febrile Illness Acute
DB00099,Febrile Neutropenia
DB00355,Febrile Neutropenia
DB00537,Febrile Neutropenia
DB01413,Febrile Neutropenia
DB13200,Febrile Neutropenia
DB13315,Febrile Respiratory Illness
DB09276,Felty's Syndrome
DB00783,Female castration
DB14741,Female Infertility
DB12708,Fetal Deaths in Utero
DB00126,Fever
DB00165,Fever
DB00201,Fever
DB00316,Fever
DB00388,Fever
DB00455,Fever
DB00514,Fever
DB00586,Fever
DB00788,Fever
DB00835,Fever
DB00852,Fever
DB00874,Fever
DB00939,Fever
DB00945,Fever
DB01050,Fever
DB01075,Fever
DB01114,Fever
DB01173,Fever
DB01364,Fever
DB01401,Fever
DB01625,Fever
DB09213,Fever
DB11278,Fever
DB14006,Fever
DB14482,Fever
DB15932,Fever
DB06770,Fever blister
DB13612,Fever caused by Common Cold
DB13612,Fever caused by Flu Like Illness
DB00438,Fever caused by susceptible bacteria
DB00945,Fever or influenza-like illness
DB09209,Fever or influenza-like illness
DB01406,Fibrocystic Disease of Breast
DB05467,Fibrodysplasia Ossificans Progressiva (FOP)
DB00230,Fibromyalgia
DB00316,Fibromyalgia
DB00370,Fibromyalgia
DB00476,Fibromyalgia
DB00656,Fibromyalgia
DB04896,Fibromyalgia
DB15576,Fibromyalgia
DB00711,Filarial Infection
DB00643,Filariasis
DB00602,Filariasis caused by Loa Loa
DB00755,Fine Wrinkles
DB00619,FIP1L1-PDGFRα fusion kinase status unknown Chronic eosinophilic leukemia
DB00619,FIP1L1-PDGFRα fusion kinase status unknown Hypereosinophilic syndrome
DB00112,First Line Chemotherapy
DB11945,First Line Chemotherapy
DB00112,First or Second Line Therapy
DB00281,Fissure;Anal
DB00343,Fissure;Anal
DB00591,Fissure;Anal
DB00741,Fissure;Anal
DB00860,Fissure;Anal
DB01115,Fissure;Anal
DB11341,Fissure;Anal
DB12532,Fissure;Anal
DB13155,Fissure;Anal
DB13346,Fissure;Anal
DB13909,Fissure;Anal
DB14539,Fissure;Anal
DB15821,Fissure;Anal
DB15886,Fissure;Anal
DB09099,Fistula of small intestine
DB09099,"Fistula, Biliary"
DB00065,Fistulizing Crohn's Disease
DB00085,Flatulence
DB01233,Flatulence
DB01294,Flatulence
DB06723,Flatulence
DB08810,Flatulence
DB09018,Flatulence
DB09090,Flatulence
DB09104,Flatulence
DB09278,Flatulence
DB09281,Flatulence
DB09512,Flatulence
DB11074,Flatulence
DB11198,Flatulence
DB13518,Flatulence
DB13626,Flatulence
DB14116,Flatulence
DB15776,Flatulence
DB16537,Flatulence
DB16566,Flatulence
DB00181,Flexor spasm
DB00126,Flu caused by Influenza
DB00198,Flu caused by Influenza
DB00201,Flu caused by Influenza
DB00316,Flu caused by Influenza
DB00318,Flu caused by Influenza
DB00341,Flu caused by Influenza
DB00388,Flu caused by Influenza
DB00514,Flu caused by Influenza
DB00558,Flu caused by Influenza
DB00788,Flu caused by Influenza
DB00825,Flu caused by Influenza
DB00835,Flu caused by Influenza
DB00852,Flu caused by Influenza
DB00874,Flu caused by Influenza
DB00945,Flu caused by Influenza
DB01082,Flu caused by Influenza
DB01114,Flu caused by Influenza
DB01331,Flu caused by Influenza
DB01620,Flu caused by Influenza
DB01625,Flu caused by Influenza
DB08979,Flu caused by Influenza
DB09209,Flu caused by Influenza
DB11036,Flu caused by Influenza
DB11041,Flu caused by Influenza
DB13997,Flu caused by Influenza
DB14390,Flu caused by Influenza
DB14402,Flu caused by Influenza
DB14407,Flu caused by Influenza
DB14482,Flu caused by Influenza
DB15514,Flu caused by Influenza
DB15517,Flu caused by Influenza
DB15621,Flu caused by Influenza
DB15932,Flu caused by Influenza
DB15966,Flu caused by Influenza
DB00761,Fluid and electrolyte maintenance therapy
DB01164,Fluid and electrolyte maintenance therapy
DB01914,Fluid and electrolyte maintenance therapy
DB09153,Fluid and electrolyte maintenance therapy
DB09154,Fluid and electrolyte maintenance therapy
DB09341,Fluid and electrolyte maintenance therapy
DB09407,Fluid and electrolyte maintenance therapy
DB09414,Fluid and electrolyte maintenance therapy
DB09449,Fluid and electrolyte maintenance therapy
DB13180,Fluid and electrolyte maintenance therapy
DB01164,Fluid Loss
DB01914,Fluid Loss
DB04398,Fluid Loss
DB09153,Fluid Loss
DB13180,Fluid Loss
DB00761,Fluid replacement therapy
DB01914,Fluid replacement therapy
DB04398,Fluid replacement therapy
DB09153,Fluid replacement therapy
DB09407,Fluid replacement therapy
DB09414,Fluid replacement therapy
DB09449,Fluid replacement therapy
DB13180,Fluid replacement therapy
DB13142,Fluoride Poisoning
DB13962,Fluoride Poisoning
DB09144,Fluorouracil overdose
DB14223,Focal Dystonia
DB00867,Foetal distress syndrome
DB00878,Foeter Ex Ore
DB00650,Folate and iron deficiency
DB00115,Folate deficiency
DB00126,Folate deficiency
DB00158,Folate deficiency
DB00650,Folate deficiency
DB03256,Folate deficiency
DB06715,Folate deficiency
DB11093,Folate deficiency
DB13257,Folate deficiency
DB14488,Folate deficiency
DB15763,Folate deficiency
DB00114,Folate supplementation therapy
DB00977,Folate supplementation therapy
DB01395,Folate supplementation therapy
DB00650,Folic acid antagonist overdose
DB11596,Folic acid antagonist overdose
DB14491,Folic acid antagonist overdose
DB00152,Folic Acid Deficiency Anemia
DB12877,Follicular conjunctivitis
DB00070,Follicular Lymphoma ( FL)
DB00480,Follicular Lymphoma ( FL)
DB00073,Follicular Non-Hodgkin's Lymphoma
DB00078,Follicular Non-Hodgkin's Lymphoma
DB00105,Follicular Non-Hodgkin's Lymphoma
DB05258,Follicular Non-Hodgkin's Lymphoma
DB00078,Follicular Non-Hodgkin's Lymphoma Refractory
DB06769,Follicular Non-Hodgkin's Lymphoma Refractory
DB00798,Folliculitis
DB01146,Folliculitis
DB04815,Folliculitis
DB13906,Folliculitis
DB00874,Food Allergy
DB01003,Food Allergy
DB01114,Food Allergy
DB00936,Foot Callus
DB06711,Foreign body sensation in eyes
DB15793,Foreign body sensation in eyes
DB01241,Fredrickson classification type IV Hyperlipidemia
DB01393,Fredrickson classification type IV Hyperlipidemia
DB03756,Fredrickson classification type IV Hyperlipidemia
DB09055,Fredrickson classification type IV Hyperlipidemia
DB01241,Fredrickson classification type V Hyperlipidemia
DB01393,Fredrickson classification type V Hyperlipidemia
DB03756,Fredrickson type IIb hyperlipidemia
DB09055,Fredrickson type IIb hyperlipidemia
DB01076,Fredrickson Type III lipidemia
DB00591,Friction and Pressure Injuries
DB12513,Friedreich's Ataxia
DB00741,Fulminating Pulmonary Tuberculosis
DB00959,Fulminating Pulmonary Tuberculosis
DB14545,Fulminating Pulmonary Tuberculosis
DB14644,Fulminating Pulmonary Tuberculosis
DB00635,Fulminating Tuberculosis
DB08890,Functional Constipation (FC)
DB09090,Functional disorders of the biliary tract
DB12944,Functional disorders of the biliary tract
DB04924,Functional Dyspepsia
DB13511,Functional Dyspepsia
DB00140,Functional Gastrointestinal Disorders (FGID)
DB12944,Functional Gastrointestinal Disorders (FGID)
DB00826,Fungal blepharitis
DB00826,Fungal conjunctivitis
DB00257,Fungal ear infection
DB04815,Fungal ear infection caused by Aspergillus niger
DB01099,Fungal endocarditis
DB04794,Fungal infection of nail
DB00406,Fungal Infection of the umbilical cord area
DB00196,Fungal Infections
DB00406,Fungal Infections
DB00520,Fungal Infections
DB00582,Fungal Infections
DB00620,Fungal Infections
DB00681,Fungal Infections
DB00936,Fungal Infections
DB01026,Fungal Infections
DB01099,Fungal Infections
DB01141,Fungal Infections
DB01167,Fungal Infections
DB01263,Fungal Infections
DB03793,Fungal Infections
DB04794,Fungal Infections
DB13434,Fungal Infections
DB00826,Fungal infections of the cornea
DB00620,Fungal infectious disorders of the Beard
DB01127,Fungal infectious disorders of the Beard
DB00582,Fungal meningitis caused by Exserohilum Infection
DB00681,Fungal osteoarticular infections
DB00196,Fungal peritonitis caused by Candida
DB00362,Fungal peritonitis caused by Candida
DB01141,Fungal peritonitis caused by Candida
DB00239,Fungal skin infection
DB00257,Fungal skin infection
DB00394,Fungal skin infection
DB00620,Fungal skin infection
DB00936,Fungal skin infection
DB01007,Fungal skin infection
DB01110,Fungal skin infection
DB01127,Fungal skin infection
DB01153,Fungal skin infection
DB01167,Fungal skin infection
DB01188,Fungal skin infection
DB01243,Fungal skin infection
DB02703,Fungal skin infection
DB03808,Fungal skin infection
DB04794,Fungal skin infection
DB09056,Fungal skin infection
DB11326,Fungal skin infection
DB13306,Fungal skin infection
DB13434,Fungal skin infection
DB13977,Fungal skin infection
DB14634,Fungal skin infection
DB00257,Fungal Vaginal Infections
DB13724,Fungal Vaginal Infections
DB14649,Fungal Vaginal Infections
DB09056,"Fungus, Nail"
DB00936,Furuncle
DB01146,Furuncle
DB01582,Furuncle
DB01137,Furuncle caused by susceptible bacteria
DB00798,Furunculosis
DB00582,Fusarium infection
DB01053,Fusospirochetosis
DB01750,Gall Bladder Diseases
DB11288,Gall Bladder Diseases
DB14016,Gall Bladder Diseases
DB15820,Gall Bladder Diseases
DB03419,Gallbladder Cancer
DB07118,Gallbladder Inflammation
DB09164,Gallbladder Inflammation
DB01586,Gallstones
DB07118,Gallstones
DB08834,Gallstones
DB11288,Gallstones
DB14016,Gallstones
DB01086,Gangrene Stomatitis
DB01053,Gas Gangrene
DB11198,Gas pain
DB14016,Gastric acid deficiency
DB00183,Gastric Acid Suppression
DB09104,Gastric Acid Suppression
DB00305,Gastric Adenocarcinoma
DB01233,Gastric bezoar
DB00544,Gastric Cancer
DB00762,Gastric Cancer
DB01229,Gastric Cancer
DB03419,Gastric Cancer
DB01233,Gastric emptying for radiologic procedures
DB00183,Gastric hypersecretion
DB00501,Gastric hypersecretion
DB00863,Gastric hypersecretion
DB13844,Gastric hypersecretion
DB11739,Gastric or Duodenal Ulcers Caused by Low-dose Aspirin
DB00424,Gastric secretions
DB00986,Gastric secretions
DB00338,Gastric Ulcer
DB00364,Gastric Ulcer
DB00585,Gastric Ulcer
DB00670,Gastric Ulcer
DB00863,Gastric Ulcer
DB00929,Gastric Ulcer
DB01050,Gastric Ulcer
DB01129,Gastric Ulcer
DB01575,Gastric Ulcer
DB06723,Gastric Ulcer
DB06724,Gastric Ulcer
DB09104,Gastric Ulcer
DB09281,Gastric Ulcer
DB09512,Gastric Ulcer
DB11074,Gastric Ulcer
DB11656,Gastric Ulcer
DB11739,Gastric Ulcer
DB13431,Gastric Ulcer
DB13626,Gastric Ulcer
DB09099,Gastric ulcer haemorrhage
DB13762,Gastric ulcer helicobacter
DB09532,Gastrinoma
DB00364,Gastritis
DB00927,Gastritis
DB09512,Gastritis
DB11074,Gastritis
DB16527,Gastritis Acute
DB13198,Gastritis Chronic
DB13844,Gastritis Chronic
DB15955,Gastritis Chronic
DB16527,Gastritis Chronic
DB09099,Gastritis haemorrhagic
DB04924,Gastroenteritis
DB12602,Gastroenteropancreatic Neuroendocrine Tumors
DB13985,Gastroenteropancreatic Neuroendocrine Tumors
DB01233,Gastroesophageal Reflux
DB06723,Gastroesophageal Reflux
DB06724,Gastroesophageal Reflux
DB08810,Gastroesophageal Reflux
DB13518,Gastroesophageal Reflux
DB00213,Gastro-esophageal Reflux Disease (GERD)
DB00338,Gastro-esophageal Reflux Disease (GERD)
DB00364,Gastro-esophageal Reflux Disease (GERD)
DB00501,Gastro-esophageal Reflux Disease (GERD)
DB00585,Gastro-esophageal Reflux Disease (GERD)
DB00736,Gastro-esophageal Reflux Disease (GERD)
DB00863,Gastro-esophageal Reflux Disease (GERD)
DB01129,Gastro-esophageal Reflux Disease (GERD)
DB01390,Gastro-esophageal Reflux Disease (GERD)
DB08810,Gastro-esophageal Reflux Disease (GERD)
DB11074,Gastro-esophageal Reflux Disease (GERD)
DB11098,Gastro-esophageal Reflux Disease (GERD)
DB13518,Gastro-esophageal Reflux Disease (GERD)
DB13762,Gastro-esophageal Reflux Disease (GERD)
DB00571,Gastroesophageal variceal hemorrhage prophylaxis
DB01203,Gastroesophageal variceal hemorrhage prophylaxis
DB15975,Gastrointestinal bacterial infection
DB01110,Gastrointestinal candidiasis
DB00784,Gastrointestinal cramping
DB09512,Gastrointestinal cramping
DB00804,Gastrointestinal cramps caused by Gas
DB09512,Gastrointestinal cramps caused by Gas
DB00085,Gastrointestinal Discomfort
DB14631,Gastrointestinal Diseases
DB14669,Gastrointestinal Diseases
DB00604,Gastrointestinal Disorder
DB13511,Gastrointestinal Disorder
DB13844,Gastrointestinal Disorder
DB15827,Gastrointestinal Disorder
DB13844,Gastrointestinal Disorder Postoperative
DB15820,Gastrointestinal Disorder Postoperative
DB09018,Gastrointestinal disturbances
DB15823,Gastrointestinal disturbances
DB01294,Gastrointestinal fullness
DB04160,Gastrointestinal Hemorrhage
DB09165,Gastrointestinal Hemorrhage
DB09493,Gastrointestinal Hemorrhage
DB11328,Gastrointestinal Hemorrhage
DB13520,Gastrointestinal hypermotility
DB13844,Gastrointestinal hypermotility
DB13026,Gastrointestinal Infections caused by entamoeba histolytica
DB02701,Gastrointestinal insufficiency
DB09018,Gastrointestinal Motility and Defaecation Conditions
DB13500,Gastrointestinal pain
DB13844,Gastrointestinal pain
DB00782,Gastrointestinal spasms
DB01625,Gastrointestinal spasms
DB09089,Gastrointestinal spasms
DB09512,Gastrointestinal spasms
DB13437,Gastrointestinal spasms
DB13500,Gastrointestinal spasms
DB13835,Gastrointestinal spasms
DB13844,Gastrointestinal spasms
DB13913,Gastrointestinal spasms
DB09300,Gastrointestinal spastic and hypermotility disorders
DB15888,Gastrointestinal spastic and hypermotility disorders
DB00398,Gastrointestinal Stromal Tumor (GIST)
DB00619,Gastrointestinal Stromal Tumor (GIST)
DB01268,Gastrointestinal Stromal Tumor (GIST)
DB00501,Gastrointestinal Symptoms
DB01184,Gastrointestinal Symptoms
DB13260,Gastrointestinal Symptoms
DB09290,Gastrointestinal Symptoms caused by cancer treatment
DB00415,Gastrointestinal Tract Infections
DB00955,Gastrointestinal Tract Infections
DB00994,Gastrointestinal Tract Infections
DB09115,Gastrointestinal Tract Infections
DB13248,Gastrointestinal Tract Infections
DB00927,Gastrointestinal ulceration
DB06724,Gastrointestinal ulceration
DB13431,Gastrointestinal ulceration
DB00199,Gastroparesis
DB01233,Gastroparesis
DB00053,"Gaucher Disease, Type 1"
DB06720,"Gaucher Disease, Type 1"
DB08876,"Gaucher Disease, Type 1"
DB09039,"Gaucher Disease, Type 1"
DB00053,"Gaucher Disease, Type III"
DB08876,"Gaucher Disease, Type III"
DB00228,General Anesthesia
DB00297,General Anesthesia
DB00454,General Anesthesia
DB00708,General Anesthesia
DB00813,General Anesthesia
DB01364,General Anesthesia Induced Hypotension
DB01698,General Surgery
DB16613,General Surgery of the Cancellous Bone and Bones
DB16613,General Surgery of the Sacral Cavity
DB00825,Generalised muscle aches
DB11278,Generalised muscle aches
DB00215,Generalized Anxiety Disorder
DB00230,Generalized Anxiety Disorder
DB00285,Generalized Anxiety Disorder
DB00370,Generalized Anxiety Disorder
DB00404,Generalized Anxiety Disorder
DB00476,Generalized Anxiety Disorder
DB00628,Generalized Anxiety Disorder
DB00715,Generalized Anxiety Disorder
DB01104,Generalized Anxiety Disorder
DB01175,Generalized Anxiety Disorder
DB01224,Generalized Anxiety Disorder
DB12930,Generalized Anxiety Disorder
DB04165,Generalized Convulsive Epilepsy
DB13882,Generalized joint pain
DB01257,Generalized Myasthenia Gravis
DB06205,Generalized Myasthenia Gravis
DB11580,Generalized Myasthenia Gravis
DB14919,Generalized Myasthenia Gravis
DB15270,Generalized Myasthenia Gravis
DB15626,Generalized Pustular Psoriasis (GPP)
DB00252,Generalized Tonic-Clonic Seizures
DB00273,Generalized Tonic-Clonic Seizures
DB00555,Generalized Tonic-Clonic Seizures
DB00564,Generalized Tonic-Clonic Seizures
DB00754,Generalized Tonic-Clonic Seizures
DB00794,Generalized Tonic-Clonic Seizures
DB00819,Generalized Tonic-Clonic Seizures
DB01202,Generalized Tonic-Clonic Seizures
DB01320,Generalized tonic-clonic status epilepticus
DB14112,Generalized vaccinia
DB00257,Genital candidiasis
DB13434,Genital candidiasis
DB00577,Genital Herpes
DB00577,"Genital herpes, initial episode"
DB01321,Genital infection
DB01602,Genital infection
DB15975,Genital infection bacterial
DB01327,Genital infection caused by susceptible Bacterial Infections
DB13906,Genital pruritus
DB01329,Genital tract infection
DB00576,Genital tract inflammation
DB00207,Genital Ulcer Disease (GUD)
DB09300,Genitourinary smooth muscle spasm
DB13844,Genitourinary spasms
DB00415,Genitourinary tract infection
DB00567,Genitourinary tract infection
DB01060,Genitourinary tract infection
DB00493,Genitourinary tract infection caused by susceptible Bacterial Infections
DB06290,Genotype 4 Chronic Hepatitis C
DB08934,Genotype 4 Chronic Hepatitis C
DB09027,Genotype 4 Chronic Hepatitis C
DB11574,Genotype 4 Chronic Hepatitis C
DB11575,Genotype 4 Chronic Hepatitis C
DB11586,Genotype 4 Chronic Hepatitis C
DB11613,Genotype 4 Chronic Hepatitis C
DB13878,Genotype 4 Chronic Hepatitis C
DB13879,Genotype 4 Chronic Hepatitis C
DB08934,Genotype 6 chronic hepatitis C infection
DB09027,Genotype 6 chronic hepatitis C infection
DB11613,Genotype 6 chronic hepatitis C infection
DB13878,Genotype 6 chronic hepatitis C infection
DB13879,Genotype 6 chronic hepatitis C infection
DB16694,Geographic Atrophy Secondary to Age-related Macular Degeneration
DB00213,GERD With Erosive Esophagitis
DB00046,Gestational Diabetes Mellitus (GDM)
DB01016,Gestational Diabetes Mellitus (GDM)
DB01306,Gestational Diabetes Mellitus (GDM)
DB00541,Gestational Trophoblastic Neoplasia
DB00563,Gestational Trophoblastic Neoplasia
DB00773,Gestational Trophoblastic Neoplasia
DB00917,Gestational Trophoblastic Neoplasia
DB00970,Gestational Trophoblastic Neoplasia
DB00635,Giant Cell Arteritis (GCA)
DB06273,Giant Cell Arteritis (GCA)
DB00291,Giant follicular lymphoma
DB06794,Giant papillary conjunctivitis
DB00643,Giardiasis
DB00911,Giardiasis
DB00916,Giardiasis
DB13026,Giardiasis
DB13855,Giardiasis
DB15759,Giardiasis
DB09210,"Giddiness caused by Injuries, Craniocerebral"
DB00125,Gigantism
DB00334,Gilles de la Tourette's Syndrome
DB00502,Gilles de la Tourette's Syndrome
DB00575,Gilles de la Tourette's Syndrome
DB00623,Gilles de la Tourette's Syndrome
DB01018,Gilles de la Tourette's Syndrome
DB01068,Gilles de la Tourette's Syndrome
DB04844,Gilles de la Tourette's Syndrome
DB00878,Gingival Bleeding
DB01390,Gingival Bleeding
DB11145,Gingival Bleeding
DB00878,Gingival Diseases
DB03127,Gingival Diseases
DB11145,Gingival Retraction
DB00620,Gingivitis
DB00878,Gingivitis
DB01086,Gingivitis
DB03127,Gingivitis
DB03852,Gingivitis
DB04209,Gingivitis
DB08604,Gingivitis
DB09084,Gingivitis
DB09095,Gingivitis
DB10651,Gingivitis
DB11073,Gingivitis
DB11105,Gingivitis
DB13503,Gingivitis
DB13908,Gingivitis
DB15794,Gingivitis
DB00417,"Gingivitis, Necrotizing Ulcerative"
DB13910,Gingivostomatitis
DB00083,Glabellar Frown Lines (GL)
DB01234,Glaucoma
DB13316,Glaucoma
DB15071,Glaucoma
DB01085,"Glaucoma, Closed-Angle"
DB06192,Glioblastoma Multiforme (GBM)
DB00855,Glioma
DB00878,Glossitis
DB01016,Glycemic Control
DB15323,Glycemic Index
DB01272,Glycogen Storage Disease Type II
