diseaseId	diseaseName	type	MeSH_tree_number	MeSH_heading
C1335512	Prostate Lymphoma	disease	C04	   Neoplasms
C1335511	Prostate Leiomyosarcoma	disease	C04	   Neoplasms
C0598766	Leukemogenesis	disease	C04	   Neoplasms
C1956131	Lymphoma, Follicular, Grade 3	disease	C04	   Neoplasms
C0282609	Bone Marrow Neoplasms	group	C04	   Neoplasms
C1833921	Familial medullary thyroid carcinoma	disease	C04	   Neoplasms
C1335563	Proximal-Type Epithelioid Sarcoma	disease	C04	   Neoplasms
C1275278	Extraskeletal Myxoid Chondrosarcoma	disease	C04	   Neoplasms
C1334557	Malignant Adult Brain Neoplasm	disease	C04	   Neoplasms
C0024586	Malignant Carcinoid Syndrome	disease	C04	   Neoplasms
C0030186	Paget Disease Extramammary	disease	C04	   Neoplasms
C0279000	Liver and Intrahepatic Biliary Tract Carcinoma	disease	C04	   Neoplasms
C0457533	Desmoplastic ameloblastoma	disease	C04	   Neoplasms
C0021071	Immunoproliferative Small Intestinal Disease	disease	C04	   Neoplasms
C1266158	Nongerminomatous Germ Cell Tumor	disease	C04	   Neoplasms
C0341714	Lymphoma of kidney	disease	C04	   Neoplasms
C1512260	Grade I Meningioma	disease	C04	   Neoplasms
C1275303	Erythrodermic mycosis fungoides	disease	C04	   Neoplasms
C0276270	Oral papillomatosis	disease	C04	   Neoplasms
C0347180	Penile intraepithelial neoplasia	disease	C04	   Neoplasms
C0276273	Teat papillomatosis	phenotype	C04	   Neoplasms
C0206734	Hemangioblastoma	disease	C04	   Neoplasms
C1306574	Botryoid rhabdomyosarcoma	disease	C04	   Neoplasms
C0334240	Combined small cell carcinoma	disease	C04	   Neoplasms
C0549414	Blast cell proliferation	phenotype	C04	   Neoplasms
C0206737	Nevus, Intradermal	disease	C04	   Neoplasms
C0042995	Vulvar Neoplasms	group	C04	   Neoplasms
C0205696	Anaplastic carcinoma	disease	C04	   Neoplasms
C1266168	Malignant tenosynovial giant cell tumor	disease	C04	   Neoplasms
C1300347	Atypical polypoid adenomyoma	disease	C04	   Neoplasms
C0431129	Adamantinous Craniopharyngioma	disease	C04	   Neoplasms
C0334482	Fetal rhabdomyoma	disease	C04	   Neoplasms
C1328042	type B thymoma	disease	C04	   Neoplasms
C0024667	Animal Mammary Neoplasms	phenotype	C04	   Neoplasms
C1266175	Parachordoma	disease	C04	   Neoplasms
C2981712	Ocular Adnexal Lymphoma	disease	C04	   Neoplasms
C0026948	Mycosis Fungoides	group	C04	   Neoplasms
C0338430	Limbic Encephalitis	disease	C04	   Neoplasms
C0563306	IgG myeloma	disease	C04	   Neoplasms
C1301034	Pancreatic intraepithelial neoplasia	disease	C04	   Neoplasms
C0030283	Pancreatic Cyst	disease	C04	   Neoplasms
C0023441	Leukemia, Experimental	disease	C04	   Neoplasms
C0334486	Low Grade Endometrial Stromal Sarcoma	disease	C04	   Neoplasms
C3272399	Gastric Neuroendocrine Tumor	disease	C04	   Neoplasms
C1335929	Schwannomatosis	disease	C04	   Neoplasms
C1332912	Cervical Clear Cell Adenocarcinoma	disease	C04	   Neoplasms
C1513734	Solid/Multicystic Ameloblastoma	disease	C04	   Neoplasms
C0279557	Adenosquamous cell lung cancer	disease	C04	   Neoplasms
C0751340	Myasthenia Gravis, Ocular	disease	C04	   Neoplasms
C1368683	Epithelioma	disease	C04	   Neoplasms
C0585129	Retroperitoneal sarcoma	disease	C04	   Neoplasms
C0751343	Myelitis, Postinfectious	disease	C04	   Neoplasms
C3665593	Melanocytic nevus of skin	disease	C04	   Neoplasms
C1834235	NEUROFIBROMATOSIS, FAMILIAL SPINAL	disease	C04	   Neoplasms
C1263887	Neoplasm of temporal lobe	disease	C04	   Neoplasms
C1862314	Basal cell nevus	disease	C04	   Neoplasms
C0010093	Corpus Luteum Cyst	disease	C04	   Neoplasms
C0346210	Vulval intraepithelial neoplasia	disease	C04	   Neoplasms
C1266189	Granular cell tumor of the sellar region	disease	C04	   Neoplasms
C1514428	Primary peritoneal carcinoma	disease	C04	   Neoplasms
C0345893	Juvenile polyposis syndrome	disease	C04	   Neoplasms
C4552100	Lynch Syndrome	disease	C04	   Neoplasms
C1335971	Skeletal Muscle Neoplasm	disease	C04	   Neoplasms
C1266194	Lymphocyte Rich Classical Hodgkin Lymphoma	disease	C04	   Neoplasms
C1332922	Cervical Squamous Intraepithelial Neoplasia	disease	C04	   Neoplasms
C0015461	Facial Neoplasms	group	C04	   Neoplasms
C0242363	Islet Cell Tumor	disease	C04	   Neoplasms
C0334494	Proliferating Brenner Tumor	disease	C04	   Neoplasms
C0238152	Cardiac Sarcoma	disease	C04	   Neoplasms
C1275874	Metaplastic squamous cell carcinoma	disease	C04	   Neoplasms
C0036631	Seminoma	disease	C04	   Neoplasms
C1854465	TUBEROUS SCLEROSIS 1 (disorder)	disease	C04	   Neoplasms
C0265979	Fibrous Hamartoma of Infancy	disease	C04	   Neoplasms
C3714239	Bmpr1a-Related Juvenile Polyposis	disease	C04	   Neoplasms
C4021125	Secretory adrenocortical adenoma	disease	C04	   Neoplasms
C0334509	Clear cell sarcoma, of tendons and aponeuroses	disease	C04	   Neoplasms
C0021367	Mammary Ductal Carcinoma	disease	C04	   Neoplasms
C2986662	Multifocal breast carcinoma	disease	C04	   Neoplasms
C0035335	Retinoblastoma	disease	C04	   Neoplasms
C3714240	Smad4-Related Juvenile Polyposis	disease	C04	   Neoplasms
C0009075	Melanoma, Cloudman S91	disease	C04	   Neoplasms
C0280257	stage, esophageal cancer	disease	C04	   Neoplasms
C0008340	Choledochal Cyst	disease	C04	   Neoplasms
C0684337	Ewings sarcoma-primitive neuroectodermal tumor (PNET)	disease	C04	   Neoplasms
C1334801	Monophasic Synovial Sarcoma	disease	C04	   Neoplasms
C0220624	Adult Brain Neoplasm	disease	C04	   Neoplasms
C4551631	Cystic liver disease	disease	C04	   Neoplasms
C3273033	Well Differentiated Hepatocellular Carcinoma	disease	C04	   Neoplasms
C0024897	Mastocytoma	disease	C04	   Neoplasms
C0153340	Cancer of Lip	disease	C04	   Neoplasms
C3273035	Poorly Differentiated Hepatocellular Carcinoma	disease	C04	   Neoplasms
C1334807	Mucinous carcinoma of breast	disease	C04	   Neoplasms
C1336056	Spindle Cell Type Gastrointestinal Stromal Tumor	disease	C04	   Neoplasms
C0344460	Carcinoma ex pleomorphic adenoma	disease	C04	   Neoplasms
C0751365	Cancer, Embryonal and Mixed	disease	C04	   Neoplasms
C0751364	Cancer, Embryonal	phenotype	C04	   Neoplasms
C1516490	Cholangiolocellular Carcinoma	disease	C04	   Neoplasms
C0684516	Benign bone neoplasm	group	C04	   Neoplasms
C0279606	Childhood Hepatocellular Carcinoma	disease	C04	   Neoplasms
C0021670	insulinoma	disease	C04	   Neoplasms
C0268381	Primary amyloidosis	disease	C04	   Neoplasms
C0153368	Malignant neoplasm of floor of mouth	disease	C04	   Neoplasms
C0206658	Smooth Muscle Tumor	disease	C04	   Neoplasms
C0206660	Germinoma	disease	C04	   Neoplasms
C0334302	Adenocarcinoid tumor	disease	C04	   Neoplasms
C0036769	Sertoli Cell Tumor	disease	C04	   Neoplasms
C0042133	Uterine Fibroids	group	C04	   Neoplasms
C2987197	Pancreatic Intraductal Papillary Mucinous Neoplasm, Oncocytic-Type	disease	C04	   Neoplasms
C1332979	Childhood Lymphoma	disease	C04	   Neoplasms
C0220648	Renal Pelvis and Ureter Urothelial Carcinoma	disease	C04	   Neoplasms
C1857587	Orstavik Lindemann Solberg syndrome	disease	C04	   Neoplasms
C0175697	Van der Woude syndrome	disease	C04	   Neoplasms
C4302896	Hormone sensitive prostate cancer	disease	C04	   Neoplasms
C0023479	Acute myelomonocytic leukemia	disease	C04	   Neoplasms
C1851526	Ancell-Spiegler cylindromas	phenotype	C04	   Neoplasms
C0334542	Hemangiopericytoma, Malignant	disease	C04	   Neoplasms
C0334337	Endometrioid adenoma	disease	C04	   Neoplasms
C0238254	Metastatic Carcinoma in the Lung	disease	C04	   Neoplasms
C1136042	Neuroma, Acoustic, Bilateral	disease	C04	   Neoplasms
C1868001	Polyposis Of Gastric Fundus Without Polyposis Coli	disease	C04	   Neoplasms
C0333155	Calcifying cyst	disease	C04	   Neoplasms
C1332156	Acute myelomonocytic leukemia with abnormal eosinophils	disease	C04	   Neoplasms
C1336257	Stage 3 Neuroblastoma	disease	C04	   Neoplasms
C1569637	Adenocarcinoma, Endometrioid	disease	C04	   Neoplasms
C1336518	Subglottic hemangioma	disease	C04	   Neoplasms
C2676500	COWDEN-LIKE SYNDROME (disorder)	disease	C04	   Neoplasms
C0267111	Gastric dysplasia	disease	C04	   Neoplasms
C0023485	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	disease	C04	   Neoplasms
C1868072	Small intestine carcinoid	disease	C04	   Neoplasms
C0496758	Malignant neoplasm of lateral floor of mouth	disease	C04	   Neoplasms
C1336522	Adenoid cystic carcinoma of submandibular gland	disease	C04	   Neoplasms
C1302772	Primary cutaneous lymphoma	disease	C04	   Neoplasms
C0024221	Lymphangioma	disease	C04	   Neoplasms
C0333161	Pseudocyst	disease	C04	   Neoplasms
C1333003	Childhood Kidney Neoplasm	disease	C04	   Neoplasms
C0279632	Adult Acute Megakaryoblastic Leukemia	disease	C04	   Neoplasms
C0280630	Uterine Carcinosarcoma	disease	C04	   Neoplasms
C0279637	Anal carcinoma	disease	C04	   Neoplasms
C1336536	Supratentorial Glioblastoma	disease	C04	   Neoplasms
C1335060	Non-Small Cell Adenocarcinoma	disease	C04	   Neoplasms
C0010631	Cystadenocarcinoma	disease	C04	   Neoplasms
C0496779	Malignant neoplasm of appendix	disease	C04	   Neoplasms
C0025063	Mediastinal Neoplasms	group	C04	   Neoplasms
C1853800	Familial Wilms tumor 2	disease	C04	   Neoplasms
C0024232	Lymphatic Metastasis	disease	C04	   Neoplasms
C3898877	hormone-resistant prostate cancer	disease	C04	   Neoplasms
C0279644	Childhood Acute Myelomonocytic Leukemia	disease	C04	   Neoplasms
C1836482	Li-Fraumeni Syndrome 2	disease	C04	   Neoplasms
C1266025	Traditional Serrated Adenoma	disease	C04	   Neoplasms
C0009402	Colorectal Carcinoma	disease	C04	   Neoplasms
C0279648	Childhood Acute Eosinophilic Leukemia	disease	C04	   Neoplasms
C0279646	Childhood Acute Monocytic Leukemia	disease	C04	   Neoplasms
C1377919	Stage IV Nasopharyngeal Carcinoma	disease	C04	   Neoplasms
C0855112	Diffuse large B-cell lymphoma refractory	disease	C04	   Neoplasms
C1333991	Hereditary Non-Polyposis Colon Cancer Type 2	disease	C04	   Neoplasms
C0158360	Fibromatosis, Plantar	disease	C04	   Neoplasms
C0346037	Acral Lentiginous Malignant Melanoma	disease	C04	   Neoplasms
C0878585	Sister Mary Joseph's Nodule	phenotype	C04	   Neoplasms
C0524801	Retinal Neoplasms	group	C04	   Neoplasms
C1333063	Classical Burkitt Lymphoma	disease	C04	   Neoplasms
C3179349	Gastrointestinal Stromal Sarcoma	disease	C04	   Neoplasms
C3149266	Neural tissue tumors	phenotype	C04	   Neoplasms
C0936248	Chondroma	disease	C04	   Neoplasms
C0740277	Bile duct carcinoma	disease	C04	   Neoplasms
C1274594	Lichenoid actinic keratosis	disease	C04	   Neoplasms
C1879344	Biliary papillomatosis	disease	C04	   Neoplasms
C0153405	Malignant neoplasm of pharynx	disease	C04	   Neoplasms
C1292776	Therapy-related acute myeloid leukemia and myelodysplastic syndrome	disease	C04	   Neoplasms
C1266046	Atypical follicular adenoma	disease	C04	   Neoplasms
C0039747	Thecoma	disease	C04	   Neoplasms
C3899652	Childhood Mixed Glioma	disease	C04	   Neoplasms
C2931899	Papillary renal cell carcinoma, familial	disease	C04	   Neoplasms
C0302592	Cervix carcinoma	disease	C04	   Neoplasms
C0474824	Halo nevus	disease	C04	   Neoplasms
C0474847	Melanotic malignant nerve sheath tumor	disease	C04	   Neoplasms
C1333071	Chordoma of clivus	disease	C04	   Neoplasms
C0474855	Compound leukemias	disease	C04	   Neoplasms
C0684354	Benign neoplasm of sweat gland	disease	C04	   Neoplasms
C1857069	SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder)	disease	C04	   Neoplasms
C0016024	Fibroadenosis	disease	C04	   Neoplasms
C0153413	Malignant neoplasm of upper third of esophagus	disease	C04	   Neoplasms
C1879526	Aberrant Crypt Foci	phenotype	C04	   Neoplasms
C0206696	Carcinoma, Signet Ring Cell	disease	C04	   Neoplasms
C0346421	Chronic eosinophilic leukemia	disease	C04	   Neoplasms
C1142025	Stage IV Esophageal Squamous Cell Carcinoma	disease	C04	   Neoplasms
C0006264	Bronchial Neoplasms	group	C04	   Neoplasms
C3899665	Childhood Epithelioid Hemangioendothelioma	disease	C04	   Neoplasms
C1320453	Cervical Squamous Cell Carcinoma In Situ	disease	C04	   Neoplasms
C0280803	Primary central nervous system lymphoma	disease	C04	   Neoplasms
C1879828	Benign Teratoma	disease	C04	   Neoplasms
C2607929	Carney Complex, Type 1	disease	C04	   Neoplasms
C1333112	Colorectal Intraepithelial Neoplasia	disease	C04	   Neoplasms
C0016045	fibroma	disease	C04	   Neoplasms
C0853879	Invasive carcinoma of breast	disease	C04	   Neoplasms
C2825139	Acute Myeloid Leukemia with Myelodysplasia-Related Changes	disease	C04	   Neoplasms
C0577691	Disseminated squamous cell carcinoma	disease	C04	   Neoplasms
C3900097	Adult Penile Carcinoma	disease	C04	   Neoplasms
C1837245	Carney Complex Variant	disease	C04	   Neoplasms
C3900099	Adult Mixed Glioma	disease	C04	   Neoplasms
C1334229	Intestinal Intraepithelial Neoplasia	disease	C04	   Neoplasms
C0025267	Multiple Endocrine Neoplasia Type 1	disease	C04	   Neoplasms
C0853972	Inflammatory carcinoma of breast stage IV	disease	C04	   Neoplasms
C0023601	Leydig Cell Tumor	disease	C04	   Neoplasms
C0334409	Leydig cell tumor, benign	disease	C04	   Neoplasms
C0346629	Malignant neoplasm of large intestine	disease	C04	   Neoplasms
C0812413	Malignant Pleural Mesothelioma	disease	C04	   Neoplasms
C3203639	Neuroendocrine carcinoma, metastatic	disease	C04	   Neoplasms
C2608055	Hereditary Renal Cell Carcinoma	disease	C04	   Neoplasms
C0027643	Neoplasm Recurrence, Local	phenotype	C04	   Neoplasms
C4743637	Resectable Renal Cell Carcinoma	disease	C04	   Neoplasms
C0265201	De Sanctis-Cacchione syndrome	disease	C04	   Neoplasms
C1336842	Type B Lymphomatoid Papulosis	disease	C04	   Neoplasms
C0334616	Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	disease	C04	   Neoplasms
C0558353	Tongue Carcinoma	disease	C04	   Neoplasms
C0036214	Sarcoma, Engelbreth-Holm-Swarm	disease	C04	   Neoplasms
C0153425	Malignant tumor of small intestine	disease	C04	   Neoplasms
C0476073	Papillary neoplasm	disease	C04	   Neoplasms
C0686112	Metastatic Neoplasm to the Gallbladder	disease	C04	   Neoplasms
C0333875	High-Grade Squamous Intraepithelial Lesions	phenotype	C04	   Neoplasms
C0008479	Chondrosarcoma	disease	C04	   Neoplasms
C0030793	Pelvic Neoplasms	group	C04	   Neoplasms
C4518333	Clear cell papillary renal cell carcinoma	disease	C04	   Neoplasms
C0334421	Glomangioma	disease	C04	   Neoplasms
C4048809	SCHWANNOMATOSIS 1	disease	C04	   Neoplasms
C0154040	Benign neoplasm of adrenal gland	disease	C04	   Neoplasms
C0027658	Neoplasms, Germ Cell and Embryonal	group	C04	   Neoplasms
C0001429	Adenolymphoma	disease	C04	   Neoplasms
C4024979	Ovarian papillary adenocarcinoma	disease	C04	   Neoplasms
C0677886	Epithelial ovarian cancer	disease	C04	   Neoplasms
C0007659	Cementoma	disease	C04	   Neoplasms
C0265326	Bannayan-Riley-Ruvalcaba Syndrome	disease	C04	   Neoplasms
C0017638	Glioma	disease	C04	   Neoplasms
C4274332	Hereditary pheochromocytoma and paraganglioma	disease	C04	   Neoplasms
C0023267	Fibroid Tumor	disease	C04	   Neoplasms
C1335409	Prostate Phyllodes Tumor	disease	C04	   Neoplasms
C4744587	Thyroid Gland Follicular Carcinoma, Widely Invasive	disease	C04	   Neoplasms
C0339304	Neoplasm of cornea	disease	C04	   Neoplasms
C0028945	oligodendroglioma	disease	C04	   Neoplasms
C1970416	XFE Progeroid Syndrome	disease	C04	   Neoplasms
C1333294	ALK positive large B-cell lymphoma	disease	C04	   Neoplasms
C0334663	Histiocytic sarcoma	disease	C04	   Neoplasms
C4024986	Congenital neuroblastoma	disease	C04	   Neoplasms
C1622814	Adult Diffuse Small Cleaved Cell Lymphoma	disease	C04	   Neoplasms
C0854196	Hepatobiliary neoplasm	disease	C04	   Neoplasms
C2959380	Folliculosebaceous cystic hamartoma	disease	C04	   Neoplasms
C0346154	Malignant phyllodes tumor of breast	disease	C04	   Neoplasms
C0278861	Recurrent Thyroid Carcinoma	disease	C04	   Neoplasms
C0346156	Benign neoplasm of breast	disease	C04	   Neoplasms
C0349533	Lymphoma of intestine	disease	C04	   Neoplasms
C4722099	High grade glioma	disease	C04	   Neoplasms
C4722083	Grade 3 Teratoma	disease	C04	   Neoplasms
C0863194	Hepatoma resectable	disease	C04	   Neoplasms
C4024989	Hereditary nonpolyposis colorectal carcinoma	disease	C04	   Neoplasms
C0007103	Malignant neoplasm of endometrium	disease	C04	   Neoplasms
C0747548	Pharyngeal Carcinoma	disease	C04	   Neoplasms
C1955861	T-Cell Large Granular Lymphocyte Leukemia	disease	C04	   Neoplasms
C0238034	Intraductal papilloma of breast	disease	C04	   Neoplasms
C1510502	Oxyphilic Adenoma	disease	C04	   Neoplasms
C1367420	Kaposiform Hemangioendothelioma	disease	C04	   Neoplasms
C1266132	Metastasizing leiomyoma	disease	C04	   Neoplasms
C2609247	Adrenal incidentaloma	disease	C04	   Neoplasms
C0346163	Endometrioid carcinoma ovary	disease	C04	   Neoplasms
C0410005	Nodular fasciitis	disease	C04	   Neoplasms
C3282896	Glandular papilloma	disease	C04	   Neoplasms
C0375071	Malignant neoplasm of vulva	disease	C04	   Neoplasms
C1368920	Atypical Lobular Breast Hyperplasia	disease	C04	   Neoplasms
C0751291	Desmoplastic Medulloblastoma	disease	C04	   Neoplasms
C1333394	Endometrial intraepithelial neoplasia	disease	C04	   Neoplasms
C2750460	Tsc2 Angiomyolipomas, Renal, Modifier Of	disease	C04	   Neoplasms
C0154091	Carcinoma in situ of bladder	disease	C04	   Neoplasms
C0457190	Xanthomatous Meningioma	disease	C04	   Neoplasms
C1707544	Cutaneous Fibrous Histiocytoma, Epithelioid Variant	disease	C04	   Neoplasms
C0154129	Neoplastic disease of uncertain behavior	group	C04	   Neoplasms
C1275277	Soft tissue chondroma	disease	C04	   Neoplasms
C0279984	Childhood Liposarcoma	disease	C04	   Neoplasms
C0005695	Bladder Neoplasm	disease	C04	   Neoplasms
C1333396	Endometrial Squamous Cell Carcinoma	disease	C04	   Neoplasms
C0001624	Adrenal Gland Neoplasms	group	C04	   Neoplasms
C0751297	Leptomeningeal Neoplasms	disease	C04	   Neoplasms
C3711382	Familial Acute Myeloid Leukemia with Mutated Cebpa	disease	C04	   Neoplasms
C0346172	Mucinous cystadenoma of ovary	disease	C04	   Neoplasms
C0024900	Mastocytosis, Bullous	disease	C04	   Neoplasms
C0038604	Subungual exostoses	disease	C04	   Neoplasms
C0206730	Neurothekeoma	disease	C04	   Neoplasms
C1367859	Pineal parenchymal tumor of intermediate differentiation	disease	C04	   Neoplasms
C0005699	Blast Phase	disease	C04	   Neoplasms
C1275302	Granulomatous mycosis fungoides	disease	C04	   Neoplasms
C4520840	Erythroleukemia (Erythroid/Myeloid)	disease	C04	   Neoplasms
C1332846	Cardiac Epithelioid Hemangioendothelioma	disease	C04	   Neoplasms
C0206733	Strawberry nevus of skin	disease	C04	   Neoplasms
C2677299	CEREBRORETINAL MICROANGIOPATHY WITH CALCIFICATIONS AND CYSTS (disorder)	disease	C04	   Neoplasms
C0041915	Urachal Cyst	disease	C04	   Neoplasms
C0334478	Bizarre leiomyoma	disease	C04	   Neoplasms
C0238525	Sarcoma of vulva	disease	C04	   Neoplasms
C2212006	Small cell carcinoma of ovary	disease	C04	   Neoplasms
C1263777	Neoplasm of body of uterus	disease	C04	   Neoplasms
C0030215	Palatal Neoplasms	disease	C04	   Neoplasms
C3805692	Hyperpigmented nevi and streak	phenotype	C04	   Neoplasms
C1512433	Cervical high grade squamous intraepithelial lesion	disease	C04	   Neoplasms
C0153463	Malignant neoplasm of other specified sites of pancreas	disease	C04	   Neoplasms
C4724971	Refractory Sarcoma	disease	C04	   Neoplasms
C1275417	Non-involuting congenital hemangioma	disease	C04	   Neoplasms
C0024624	Malignant neoplasm of upper lobe, bronchus or lung	disease	C04	   Neoplasms
C0431128	Papillary craniopharyngioma	disease	C04	   Neoplasms
C0206743	Rhabdoid Tumor	disease	C04	   Neoplasms
C0334483	Adult rhabdomyoma	disease	C04	   Neoplasms
C0854775	stage IV pancreatic cancer	disease	C04	   Neoplasms
C4725024	Refractory Leukemia	disease	C04	   Neoplasms
C1368066	islet cell gastrinoma	disease	C04	   Neoplasms
C3711560	Pdgfrb-Associated Chronic Eosinophilic Leukemia	disease	C04	   Neoplasms
C0345602	Parotid Gland Carcinoma	disease	C04	   Neoplasms
C0206636	Chondromatosis	disease	C04	   Neoplasms
C0153491	Malignant neoplasm of middle lobe, bronchus or lung	disease	C04	   Neoplasms
C0206637	Mesenchymal Chondrosarcoma	disease	C04	   Neoplasms
C0079748	Precursor cell lymphoblastic lymphoma	disease	C04	   Neoplasms
C0271333	Orbital lymphoma	disease	C04	   Neoplasms
C1266178	Gliofibroma	disease	C04	   Neoplasms
C0238122	Fallopian Tube Carcinoma	disease	C04	   Neoplasms
C1858042	Becker Nevus Syndrome	disease	C04	   Neoplasms
C0153493	Malignant neoplasm of other parts of bronchus or lung	disease	C04	   Neoplasms
C4053528	Cribriform Neuroepithelial Tumor	disease	C04	   Neoplasms
C3272530	Intestinal Neuroendocrine Carcinoma	disease	C04	   Neoplasms
C0221292	Basophilic leukemia	disease	C04	   Neoplasms
C1328402	Metastatic glioma	disease	C04	   Neoplasms
C0023904	Liver Neoplasms, Experimental	phenotype	C04	   Neoplasms
C0279563	Lobular carcinoma in situ of breast	disease	C04	   Neoplasms
C1832388	Platelet Disorder, Familial, with Associated Myeloid Malignancy	disease	C04	   Neoplasms
C0342569	Carcinoid crisis	disease	C04	   Neoplasms
C4725868	Resectable Dedifferentiated Liposarcoma	disease	C04	   Neoplasms
C0206641	Osteochondromatosis	disease	C04	   Neoplasms
C1531551	Chronic myeloid leukemia in lymphoid blast crisis	disease	C04	   Neoplasms
C0206643	Neoplasms, Fibrous Tissue	group	C04	   Neoplasms
C0156369	Uterine Polyp	disease	C04	   Neoplasms
C0221013	Mastocytosis, Systemic	disease	C04	   Neoplasms
C1959582	PTEN Hamartoma Tumor Syndrome	disease	C04	   Neoplasms
C0205748	Dysplastic Nevus	disease	C04	   Neoplasms
C0279582	Childhood Burkitt Leukemia	disease	C04	   Neoplasms
C1301359	Precursor T cell lymphoblastic leukemia/lymphoblastic lymphoma	disease	C04	   Neoplasms
C0079774	Peripheral T-Cell Lymphoma	disease	C04	   Neoplasms
C0276535	AIDS with Kaposi's sarcoma	disease	C04	   Neoplasms
C3272830	Colorectal Mucosa-Associated Lymphoid Tissue Lymphoma	disease	C04	   Neoplasms
C0751560	Malignant neoplasm tonsil	disease	C04	   Neoplasms
C1698088	Malignant Solid Neoplasm	disease	C04	   Neoplasms
C4727009	Metastatic Pancreatic Neuroendocrine Carcinoma	disease	C04	   Neoplasms
C0279583	Childhood T Acute Lymphoblastic Leukemia	disease	C04	   Neoplasms
C0206650	Fibroadenoma	disease	C04	   Neoplasms
C0027832	Neurofibromatosis 2	disease	C04	   Neoplasms
C3273010	Inflammatory Hepatocellular Adenoma	disease	C04	   Neoplasms
C0854893	Angiosarcoma non-metastatic	disease	C04	   Neoplasms
C0031925	Pilonidal Cyst	phenotype	C04	   Neoplasms
C1851413	EXOSTOSES, MULTIPLE, TYPE II	disease	C04	   Neoplasms
C0752160	Hemangioma, Cavernous, Central Nervous System	disease	C04	   Neoplasms
C0553580	Ewings sarcoma	disease	C04	   Neoplasms
C3899640	Childhood Thyroid Gland Carcinoma	disease	C04	   Neoplasms
C0280280	stage, prostate cancer	disease	C04	   Neoplasms
C0242404	Myofibroblastoma	disease	C04	   Neoplasms
C0153574	Malignant Uterine Corpus Neoplasm	disease	C04	   Neoplasms
C0345946	Squamous cell carcinoma of trachea	disease	C04	   Neoplasms
C0027070	Myoepithelioma	disease	C04	   Neoplasms
C0024899	Mastocytosis	disease	C04	   Neoplasms
C0238197	Leiomyoma of small intestine	disease	C04	   Neoplasms
C4727458	Metastatic Fibrolamellar Carcinoma	disease	C04	   Neoplasms
C0027859	Acoustic Neuroma	disease	C04	   Neoplasms
C0023466	Leukemia, Monocytic, Chronic	disease	C04	   Neoplasms
C0038356	Stomach Neoplasms	group	C04	   Neoplasms
C0031269	Peutz-Jeghers Syndrome	disease	C04	   Neoplasms
C0238198	Gastrointestinal Stromal Tumors	group	C04	   Neoplasms
C0349649	Pulmonary lymphangioleiomyomatosis	disease	C04	   Neoplasms
C0153594	Malignant neoplasm of testis	disease	C04	   Neoplasms
C0684743	Malignant neoplasm of muscle	disease	C04	   Neoplasms
C4024641	Enlarged polycystic ovaries	disease	C04	   Neoplasms
C0023472	Leukemia, Myeloid, Accelerated Phase	disease	C04	   Neoplasms
C0340848	PULMONARY VENOOCCLUSIVE DISEASE 2, AUTOSOMAL RECESSIVE	disease	C04	   Neoplasms
C0685053	Carcinoma in situ of lung	disease	C04	   Neoplasms
C0334529	Hydatidiform Mole, Partial	disease	C04	   Neoplasms
C1336079	Squamous cell breast carcinoma	disease	C04	   Neoplasms
C0027095	Myosarcoma	disease	C04	   Neoplasms
C1334920	Adenocarcinoma of the nasal cavity	disease	C04	   Neoplasms
C1333962	Hepatic Angiomyolipoma	disease	C04	   Neoplasms
C0343115	Skin Mastocytoma	disease	C04	   Neoplasms
C1704251	Breast Lymphoma	disease	C04	   Neoplasms
C1837750	Oligodontia-Colorectal Cancer Syndrome	disease	C04	   Neoplasms
C0730304	Cavernous hemangioma of retina	disease	C04	   Neoplasms
C0553707	Malignant epithelioma	disease	C04	   Neoplasms
C1265787	Single cyst	disease	C04	   Neoplasms
C0205875	Papillomatosis	disease	C04	   Neoplasms
C0280427	Adult T-cell lymphoma/leukaemia recurrent	disease	C04	   Neoplasms
C0751396	Well Differentiated Oligodendroglioma	disease	C04	   Neoplasms
C0086533	Leiomyoma, Epithelioid	disease	C04	   Neoplasms
C2012072	Glassy cell carcinoma of the cervix	disease	C04	   Neoplasms
C1960458	Differentiation syndrome due to and following chemotherapy co-occurrent with acute promyelocytic leukemia	disease	C04	   Neoplasms
C0545069	Intermediate cell carcinoma	disease	C04	   Neoplasms
C0345988	Neoplasm of skin with adnexal differentiation	disease	C04	   Neoplasms
C0333157	Colloid Cysts	disease	C04	   Neoplasms
C0153633	Malignant neoplasm of brain	disease	C04	   Neoplasms
C1377610	Peritoneal Mesothelioma	disease	C04	   Neoplasms
C0855069	Recurrent Rhabdomyosarcoma	disease	C04	   Neoplasms
C0545080	Composite Lymphoma	disease	C04	   Neoplasms
C0025060	Mediastinal Cyst	disease	C04	   Neoplasms
C0205945	Sarcoma, Spindle Cell	disease	C04	   Neoplasms
C0006079	Bowen's Disease	disease	C04	   Neoplasms
C0334566	Ghost Cell Odontogenic Carcinoma	disease	C04	   Neoplasms
C3714739	Mesothelial Neoplasms	group	C04	   Neoplasms
C0744620	Metastatic Head and Neck Squamous Cell Carcinoma	disease	C04	   Neoplasms
C0814136	respiratory system cancer	disease	C04	   Neoplasms
C0041182	Trophoblastic Neoplasms	group	C04	   Neoplasms
